model,best_val_auc,final_val_acc,avg_precision,epochs_run
pretrained,0.9051975620008408,0.843,0.8750517551647801,3
improved,0.8958265027322405,0.7755,0.8476563490424704,3
multiscale,0.8853415300546448,0.8065,0.8428075000629299,3
simple,0.82296973518285,0.733,0.7132592729918941,3
